Number,Player Nickname
1026,Paranormal
1027,ParkJJong
1028,Pat
1029,Patrick
1030,Patsi
1031,Patti
1032,PeTeRoOo
1033,Pechyn
1034,Pedrinho2011
1035,Peeping
1036,Pelle
1037,Pepo
1038,Peppzor
1039,PerX
1040,PerdY
1041,Perfecto
1042,Ph1NNN
1043,Pham
1044,PhilEba
1045,Pictrucz
1046,PiggyKiki
1047,PippySippy
1048,Pipw
1049,Pixar
1050,PlesseN
1051,Plopski
1052,Pluto
1053,PoKe
1054,Pofon
1055,PokemoN
1056,Pol0
1057,Polbandana
1058,Polt
1059,Porya
1060,Pose1doNN
1061,Potei
1062,Potya
1063,Pr0mise
1064,Praisy
1065,PremiuM
1066,Prime
1067,Prism
1068,ProKiller
1069,Profug
1070,Proper
1071,Prs
1072,Psycho
1073,Pugg
1074,Pumpkin66
1075,Pupu
1076,Purely
1077,PwnAlone
1078,PyR0
1079,Python
1080,Q-Q
1081,Qikert
1082,Qiyarah
1083,Qlocuu
1084,QuQu
1085,Quacko
1086,Quality
1087,Queenix
1088,R2B2
1089,R3LiFwOw
1090,R4DYX
1091,RAISY
1092,RCF
1093,REAL1ZE
1094,REDSTAR
1095,REGIANE
1096,REKMEISTER
1097,RENZ1
1098,REZ
1099,RICIOLI
1100,ROGA
1101,ROUX
1102,RSK
1103,RUSH
1104,RW
1105,RaY5ive
1106,RaYzEr
1107,RacheLL
1108,Rack
1109,Rackem
1110,Rafex78
1111,Raijin
1112,Rainwaker
1113,Randyyyy
1114,Ratzz
1115,RavlE
1116,Re1GN
1117,ReFuZR
1118,ReacT3on
1119,Realyummy
1120,Reaper
1121,Reapz
1122,Reason
1123,Reckless
1124,Recoilmaster
1125,Redman
1126,Reix
1127,Rejoiner
1128,Remill
1129,Remind
1130,RenanZin
1131,Renesqu
1132,ResoLuxe
1133,Revampzz
1134,Rezkiyy
1135,Rezst
1136,Rhys
1137,Rhyu
1138,Rhyza
1139,Rhyzar
1140,RiFT
1141,Rickeh
1142,RiglA
1143,RiiL3
1144,RiseN
1145,Risk
1146,Rkzinho
1147,Rlanen
1148,Ro1f
1149,RoLEX
1150,Robski
1151,Roflko
1152,Romanu
1153,Roninbaby
1154,Rony4ka
1155,Rossi
1156,Ruben
1157,Rulik
1158,Runnin
1159,RustyYG
1160,Ruy2k
1161,Rytter
1162,Ryu
1163,Ryujin
1164,S0ph3R
1165,S0tF1k
1166,S1kura
1167,S1ren
1168,S1t1f
1169,S3NSEY
1170,S5J
1171,SALO_MUX
1172,SANJI
1173,SAVAGE
1174,SBT
1175,SEBASEN
1176,SELLTER
1177,SEMPHIS
1178,SEMSYS
1179,SENER1
1180,SEXYVOVA
1181,SHOCK
1182,SHOOWTiME
1183,SHiNE
1184,SHiPZ
1185,SIXER
1186,SJR
1187,SKNS
1188,SLIE9000
1189,SLIGHT
1190,SLY
1191,SNk
1192,SOULM8
1193,SP1NT
1194,SPELLAN
1195,SPine
1196,STYKO
1197,SYDOX
1198,SZPERO
1199,Sa1nTy
1200,SaMey
1201,SaVage
1202,Saac
1203,Sain
1204,Sakuma
1205,Salty
1206,Samineh
1207,Samuukxs
1208,Samys
1209,Sandman
1210,Sange
1211,Santuriano
1212,SanyxX
1213,Sapec
1214,Sarkasm
1215,Sauceboy
1216,Saviour
1217,Sc0rch
1218,Scared
1219,Scarlet
1220,Schwarz
1221,Scoffic
1222,Scorchyy
1223,ScorpiioooN
1224,Scr0b
1225,ScringE
1226,ScrunK
1227,Sdaim
1228,SeBreeZe
1229,Seb
1230,SeeK
1231,Senzu
1232,Seqret
1233,Serce
1234,Serendipity
1235,SethP
1236,SeveN89
1237,Sh1karee
1238,Sh1nDz
1239,Sh1rax
1240,Shad0w
1241,Shadow
1242,Shakezullah
1243,Sham
1244,Shane
1245,Sharpie
1246,Sharpshooter
1247,ShenxianG
1248,Shiwei
1249,Shlyaperson
1250,Showk
1251,Shr
1252,Shuajbzz
1253,Shukba1
1254,Sickta
1255,Sideny
1256,Sidivo
1257,Sijeyy
1258,Siko
1259,Silence
1260,Siljeeeh
1261,SinK
1262,Sinzey
1263,Siyi
1264,Siz
1265,Skadoodle
1266,Skejs
1267,Skodo
1268,Skrimo
1269,SkulL
1270,Slash
1271,Slaxx
1272,Slayerhz
1273,SloWye
1274,SlooKy
1275,Slugy
1276,Sm1llee
1277,Smash
1278,Sn0w
1279,Sn0wii
1280,Snaaz
1281,SnacKZ1
1282,Snakes
1283,Snappi
1284,Snax
1285,Snaxieee
1286,Snowy
1287,So1CaoBang
1288,SoLb
1289,Sobol
1290,Sof1ra
1291,Sofiaxyz
1292,SolGoat
1293,Something
1294,Sonic
1295,Sora
1296,Sorex
1297,SpAwNnS
1298,SpavaQu
1299,SpawN
1300,Speedie
1301,Spexy
1302,Spidergum
1303,Spinx
1304,Spitfire
1305,Sprayy
1306,Spredd
1307,SquEzxc
1308,St0m4k
1309,StRoGo
1310,Staehr
1311,Starry
1312,Stay Classy
1313,Sterzig
1314,Stewie2K
1315,Stop it
1316,Stormy
1317,Straxy
1318,StreakN
1319,Stx
1320,Styx
1321,Sukkerzhok
1322,SultaaN
1323,Summa
1324,Summer
1325,SunPayus
1326,Sunk
1327,Sup3rant
1328,Supers
1329,Surreal
1330,Svedjehed
1331,Swisher
1332,Swoops
1333,Syn
1334,Sys
1335,Szeli
1336,Szkvrtl
1337,T0rby
1338,T4gg3D
1339,TABEN
1340,TACO
1341,TEARS
1342,TENSKEE
1343,TH0R
1344,THE_BEST
